Abbreviation,Full Form
Monatsschr Unfallheilkd Versicher Versorg Verkehrsmed,"Monatsschrift fur Unfallheilkunde, Versicherungs-, Versorgungs- und Verkehrsmedizin"
Monatsschr Kinderheilkd,Monatsschrift Kinderheilkunde
Monde Dent,Monde Dentaire
Mondo Odontostomatol,Mondo Odontostomatologico
Mondo Ortod,Mondo Ortodontico
Monograph,Monograph
Monogr Am Assoc Ment Defic,Monograph of the American Association of Mental Deficiency
Monogr Gesamtgeb Neurol Psychiatr Berlin,Monographien Aus dem Gesamtgebiete der Neurologie und Psychiatrie
Monogr Gesamtgeb Psychiatr Psychiatry Ser,Monographien Aus dem Gesamtgebiete der Psychiatrie. Psychiatry Series
Monogr Allergy,Monographs in Allergy
Monogr Clin Cytol,Monographs in Clinical Cytology
Monogr Dev Biol,Monographs in Developmental Biology
Monogr Hum Genet,Monographs in Human Genetics
Monogr Neural Sci,Monographs in Neural Sciences
Monogr Oral Sci,Monographs in Oral Science
Monogr Paediatr,Monographs in Paediatrics
Monogr Pathol,Monographs in Pathology
Monogr Popul Biol,Monographs in Population Biology
Monogr Surg Sci,Monographs in the Surgical Sciences
Monogr Virol,Monographs in Virology
Monogr Am Assoc Ment Defic,Monographs of the American Association on Mental Deficiency
Monogr Am Assoc Ment Retard,Monographs of the American Association on Mental Retardation
Monogr Physiol Soc,Monographs of the Physiological Society
Monogr Soc Res Child Dev,Monographs of the Society for Research in Child Development
Monogr Atheroscler,Monographs on Atherosclerosis
Monogr Endocrinol,Monographs on Endocrinology
Mon Bull Minist Health Public Health Lab Serv,Monthly Bulletin of the Ministry of Health and the Public Health Laboratory Service
Mon Labor Rev,Monthly Labor Review
Mon Vital Stat Rep,Monthly Vital Statistics Report
Montp Med,Montpellier Medical
Morfologiia,Morfologiia
Morphol Med,Morphologia Medica
Morphol Igazsagugyi Orv Sz,Morphologiai Es Igazsagugyi Orvosi Szemle
Morphologie,Morphologie
Morphol Embryol Bucur,Morphologie et Embryologie
Motor Control,Motor Control
Mt Sinai J Med,Mount Sinai Journal of Medicine
Mov Disord,Movement Disorders
MPS,MPS. Medical Products Salesman
MSDA J,MSDA Journal
Mult Scler,Multiple Sclerosis
Multis,Multis
Munca Sanit,Munca Sanitara
Munch Med Wochenschr,Munchener Medizinische Wochenschrift
Mund Kiefer Gesichtschir,"Mund-, Kiefer- und Gesichtschirurgie"
Munnpleien,Munnpleien
Muscle Nerve,Muscle and Nerve
Muscle Nerve Suppl,Muscle and Nerve. Supplement
Muscle Biol,Muscle Biology
Mutagenesis,Mutagenesis
Mutat Res,Mutation Research
Mycologia,Mycologia
Mycopathologia,Mycopathologia
Mycopathol Mycol Appl,Mycopathologia et Mycologia Applicata
Mycoses,Mycoses
Mykosen,Mykosen
Mykosen Suppl,Mykosen. Supplement
N Hc Perspect Community,N and Hc Perspectives on Community
NAACOG Newsl,NAACOG Newsletter
NAACOG Tech Bull,NAACOG Technical Bulletin
NAACOGS Clin Issu Perinat Womens Health Nurs,NAACOGS Clinical Issues in Perinatal and Womens Health Nursing
NACDL J,NACDL Journal
NADCMR Rep,Nadc-Mr Reports
NADL J,NADL Journal
Nagoya J Med Sci,Nagoya Journal of Medical Science
Nagoya Med J,Nagoya Medical Journal
NAHAM Manage J,NAHAM Management Journal
Nahrung,Nahrung
Naika Hokan,Naika Hokan . Japanese Archives of Internal Medicine
Naika,Naika. Internal Medicine
NANR News,NANR News
Nar Zdrav,Narodno Zdravlje
NASA Contract Rep NASA CR,NASA Contractor Report. NASA CR
Nasnewsletter,Nasnewsletter
Nasu Suteshon,Nasu Suteshon
Natl Cancer Inst Monogr,National Cancer Institute Monographs
Natl Cancer Inst Res Rep,National Cancer Institute Research Report
Natl Clgh Poison Control Cent Bull,National Clearinghouse for Poison Control Centers Bulletin
Natl Conf Dent Public Relat,National Conference on Dental Public Relations
Natl Dent Assoc J,National Dental Association Journal
Natl Dent Health Conf,National Dental Health Conference
Natl Eng,National Engineer
Natl Forum Hosp Health Aff,National Forum on Hospital and Health Affairs
Natl Hosp Health Care,National Hospital and Health Care
Natl Inst Anim Health Q Tokyo,National Institute of Animal Health Quarterly
Natl Inst Drug Abuse Res Monogr Ser,National Institute on Drug Abuse Research Monograph Series
Natl Inst Health Consens Dev Conf Consens Statement,National Institutes of Health Consensus Development Conference Consensus Statement
Natl Inst Health Consens Dev Conf Summ,National Institutes of Health Consensus Development Conference Summaries
Natl Inst Health Consens Dev Conf Summ,National Institutes of Health Consensus Development Conference Summary
Natl J Wash,National Journal
Natl Med Care Util Expend Surv B,"National Medical Care Utilization and Expenditure Survey. Series B, Descriptive Report"
Natl Med Care Util Expend Surv C,"National Medical Care Utilization and Expenditure Survey. Series C, Analytical Report"
Natl Med J India,National Medical Journal of India
Natl Med Leg J,National Medical-Legal Journal
Natl Netw,National Network
Natl Nosocomial Infect Study Rep,National Nosocomial Infections Study Report
Natl Saf Congr Trans,National Safety Congress Transactions
Natl Saf News,National Safety News
Natl Underwrit Life Health,National Underwriter
Natl Vital Stat Rep,National Vital Statistics Reports
Nations Bus,Nations Business
Natl Conf Patient Educ ADA,Natl Conf Patient Educ ADA
Natl League Nurs Dep Pract Nurs Programs,Natl League Nurs Dep Pract Nurs Programs
Natl League Nurs Rep Reg Workshops,Natl League Nurs Rep Reg Workshops
NATNEWS,NATNEWS
Natl Rep Subacute Care,Natonal Report on Subacute Care
Nat Immun,Natural Immunity
Nat Immun Cell Growth Regul,Natural Immunity and Cell Growth Regulation
Nat Prod Rep,Natural Product Reports
Nat Toxins,Natural Toxins
Nature,Nature
Nat Biotechnol,Nature Biotechnology
Nat Genet,Nature Genetics
Nat Med,Nature Medicine
Nat Neurosci,Nature Neuroscience
Nature New Biol,Nature. New Biology
Nat Struct Biol,Nature Structural Biology
Naturwissenschaften,Naturwissenschaften
Nauchni Tr Nauchnoizsled Stomatol Inst Sofiia,Nauchni Trudove na Nauchno-Izsledovatelskiia Stomatologichen Institut
Nauchni Tr Vissh Med Inst Sofiia,"Nauchni Trudove na Visshiia Meditsinski Institut, Sofiia"
Naunyn Schmiedebergs Arch Exp Pathol Pharmakol,Naunyn-Schmiedebergs Archiv fur Experimentelle Pathologie und Pharmakologie
Naunyn Schmiedebergs Arch Pharmakol,Naunyn-Schmiedebergs Archiv fur Pharmakologie
Naunyn Schmiedebergs Arch Pharmacol,Naunyn-Schmiedebergs Archives of Pharmacology
Navy Med,Navy Medicine
NCI Monogr,NCI Monographs
NCSDHA Dent Hyg,NCSDHA Dental Hygienist
NDA J,NDA Journal
Nebr Med J,Nebraska Medical Journal
Nebr Nurse,Nebraska Nurse
Nebr State Med J,Nebraska State Medical Journal
Nebr Symp Motiv,Nebraska Symposium on Motivation
Ned Milit Geneeskd Tijdschr,Nederlands Militair Geneeskundig Tijdschrift
Ned Tandartsenbl,Nederlands Tandartsenblad
Ned Tijdschr Psychol,Nederlands Tijdschrift Voor de Psychologie En Haar Grensgebieden
Ned Tijdschr Geneeskd,Nederlands Tijdschrift Voor Geneeskunde
Ned Tijdschr Gerontol,Nederlands Tijdschrift Voor Gerontologie
Ned Tijdschr Tandheelkd,Nederlands Tijdschrift Voor Tandheelkunde
Ned Tijdschr Verloskd Gynaecol,Nederlandsch Tijdschrift Voor Verloskunde En Gynaecologie
NEHW Health Watch,NEHW Health Watch
Neirofiziologiia,Neirofiziologiia
Neonatal Intensive Care,Neonatal Intensive Care
Neonatal Netw,Neonatal Network
Neoplasma,Neoplasma
Monogr Neoplast Dis Var Sites,Neoplastic Disease at Various Sites
Nephrologie,Nephrologie
Nephrol Dial Transplant,"Nephrology, Dialysis, Transplantation"
Nephrol News Issues,Nephrology News and Issues
Nephrol Nurse,Nephrology Nurse
Nephron,Nephron
Nervenarzt,Nervenarzt
Nerv Sist,Nervnaia Sistema
Neth J Med,Netherlands Journal of Medicine
Neth J Surg,Netherlands Journal of Surgery
Network,Network
Neue Munch Beitr Gesch Med Naturwiss Medizinhist Reihe,Neue Munchner Beitrage zur Geschichte der Medizin und Naturwissenschaften; Medizinhistorische Reihe
Neural Comput,Neural Computation
Neural Plas,Neural Plasticity
Neurochirurgie,Neuro-Chirurgie
Neurobehav Toxicol,Neurobehavioral Toxicology
Neurobehav Toxicol Teratol,Neurobehavioral Toxicology and Teratology
Neurobiology,Neurobiology
Neurobiol Aging,Neurobiology of Aging
Neurobiol Dis,Neurobiology of Disease
Neurobiol Learn Mem,Neurobiology of Learning and Memory
Neurochem Pathol,Neurochemical Pathology
Neurochem Res,Neurochemical Research
Neurochem Int,Neurochemistry International
Neurochirurgia Stuttg,Neurochirurgia
Neurocirugia,Neurocirugia
Neurodegeneration,Neurodegeneration
Neuroendocrinology,Neuroendocrinology
Neuroepidemiology,Neuroepidemiology
Neurofibromatosis,Neurofibromatosis
Neurogastroenterol Motil,Neurogastroenterology and Motility
Neurogenetics,Neurogenetics
Neuroimage,Neuroimage
Neuroimaging Clin N Am,Neuroimaging Clinics of North America
Neuroimmunomodulation,Neuroimmunomodulation
Neurologia,Neurologia
Neurol Croat,Neurologia Croatica
Neurol Neurochir Pol,Neurologia i Neurochirurgia Polska
Neurol Med Chir Tokyo,Neurologia Medico-Chirurgica
Neurol Neurochir Psychiatr Pol,"Neurologia, Neurochirurgia i Psychiatria Polska"
Neurol Neurocir Psiquiatr,Neurologia-Neurocirugia-Psiquiatria
Neurol Psihiatr Neurochir,"Neurologia, Psihiatria, Neurochirurgia"
Neurol Clin,Neurologic Clinics
Neurol Res,Neurological Research
Neurol Psychiatr Bucur,Neurologie et Psychiatrie
Neurologija,Neurologija
Neurology,Neurology
Neurol India,Neurology India
Neuromuscul Disord,Neuromuscular Disorders
Neuron,Neuron
Neuropadiatrie,Neuropadiatrie
Neuropathol Appl Neurobiol,Neuropathology and Applied Neurobiology
Neuropatol Pol,Neuropatologia Polska
Neuropediatrics,Neuropediatrics
Neuropeptides,Neuropeptides
Neuropharmacology,Neuropharmacology
Neurophysiol Clin,Neurophysiologie Clinique
Neuropsihijatrija,Neuropsihijatrija
Neuropsychiatr Enfance Adolesc,Neuropsychiatrie de l Enfance et de l Adolescence
Neuropsychiatry Neuropsychol Behav Neurol,"Neuropsychiatry, Neuropsychology, and Behavioral Neurology"
Neuropsychobiology,Neuropsychobiology
Neuropsychologia,Neuropsychologia
Neuropsychology,Neuropsychology
Neuropsychol Rev,Neuropsychology Review
Neuropsychopharmacology,Neuropsychopharmacology
Neuroradiology,Neuroradiology
Neuroreport,Neuroreport
Neuroscience,Neuroscience
Neurosci Behav Physiol,Neuroscience and Behavioral Physiology
Neurosci Biobehav Rev,Neuroscience and Biobehavioral Reviews
Neurosci Lett,Neuroscience Letters
Neurosci Lett Suppl,Neuroscience Letters. Supplement
Neurosci Res,Neuroscience Research
Neurosci Res Suppl,Neuroscience Research. Supplement
Neurosci Res N Y,Neurosciences Research
Neurosci Res Program Bull,Neurosciences Research Program Bulletin
Neurosurgery,Neurosurgery
Neurosurg Clin N Am,Neurosurgery Clinics of North America
Neurosurg Rev,Neurosurgical Review
Neurotoxicology,Neurotoxicology
Neurotoxicol Teratol,Neurotoxicology and Teratology
Neurotoxins,Neurotoxins
Neurourol Urodyn,Neurourology and Urodynamics
Nev Nurses Assoc Q Newsl,Nevada Nurses Association Quarterly Newsletter
Nev Rnformation,Nevada Rnformation
New Biol,New Biologist
New Dent,New Dentist
New Dir Child Adolesc Dev,New Directions for Child and Adolescent Development
New Dir Child Dev,New Directions for Child Development
New Dir Ment Health Serv,New Directions for Mental Health Services
N Engl Reg Allergy Proc,New England and Regional Allergy Proceedings
N Engl J Hum Serv,New England Journal of Human Services
N Engl J Med,New England Journal of Medicine
New Era Nurs Image Int,New Era Nursing Image International
New Horiz,New Horizons
New Istanbul Contrib Clin Sci,New Istanbul Contribution to Clinical Science
N J Healthc,New Jersey Healthcare
N J League Nurs News,New Jersey League for Nursing News
N J Med,New Jersey Medicine
N J Nurse,New Jersey Nurse
N M Dent J,New Mexico Dental Journal
N M Nurse,New Mexico Nurse
New Microbiol,New Microbiologica
New Physician,New Physician
N Y J Dent,New York Journal of Dentistry
N Y State Dent J,New York State Dental Journal
N Y State J Med,New York State Journal of Medicine
N Y State Nurse,New York State Nurse
N Y Times Mag,New York Times Magazine
N Y Univ J Dent,New York University Journal of Dentistry
N Z Dent J,New Zealand Dental Journal
N Z Health Hospital,New Zealand Health and Hospital
N Z Hosp,New Zealand Hospital
N Z Med J,New Zealand Medical Journal
N Z Nurs Forum,New Zealand Nursing Forum
N Z Nurs J,New Zealand Nursing Journal
N Z Sch Dent Serv Gaz,New Zealand School Dental Service Gazette
N Z Vet J,New Zealand Veterinary Journal
News Views,News and Views
News Bull Indian Dent Assoc,News Bulletin - Indian Dental Association
News Lett Florence Nightingale Int Nurs Assoc,News Letter; Florence Nightingale International Nurses Association
News Lett Maine State Nurses Assoc,News Letter; Maine State Nurses Association
News Notes Ohio Dent J,News Notes / Ohio Dental Journal
Newsette,Newsette
Newsl Am Acad Health Adm,Newsletter - American Academy of Health Administration
Newsl Int Acad Periodontol,Newsletter / International Academy of Periodontology
Newsl Int Coll Dent India Sect,"Newsletter; International College of Dentists, India Section"
Newsl Biomed Saf Stand,Newsletter of Biomedical Safety and Standards
Newsl Am Acad Implant Dent,Newsletter of the American Academy of Implant Dentistry
Newsl Springfield Dent Soc,Newsletter - Springfield Dental Society
Newsl Wis League Nurs,Newsletter; Wisconsin League for Nursing
Newsweek,Newsweek
NFPA J,NFPA Journal
Nicar Odontol,Nicaragua Odontologica
Nichidai Koko Kagaku,Nichidai Koko Kagaku
NIDA Res Monogr,NIDA Research Monograph
Niedersachs Zahnarztebl,Niedersachsisches Zahnarzteblatt
Niger Dent J,Nigerian Dental Journal
Niger Med J,Nigerian Medical Journal
Niger Nurse,Nigerian Nurse
NIH Consens Statement,NIH Consensus Statement
NIH Guide Grants Contracts,NIH Guide for Grants and Contracts
NIHAE Bull,NIHAE Bulletin
Nihon Ago Kansetsu Gakkai Zasshi,Nihon Ago Kansetsu Gakkai Zasshi
Nihon Arukoru Yakubutsu Igakkai Zasshi,Nihon Arukoru. Yakubutsu Igakkai Zasshi
Nihon Hansenbyo Gakkai Zasshi,Nihon Hansenbyo Gakkai Zasshi. Japanese Journal of Leprosy
Nihon Kango Kagakkaishi,Nihon Kango Kagakkai Shi
Nihon Kokyuki Gakkai Zasshi,Nihon Kokyuki Gakkai Zasshi
Nihon Rinsho Meneki Gakkai Kaishi,Nihon Rinsho Meneki Gakkai Kaishi
Nihon Rinsho Shishubyo Danwakai Kaishi,Nihon Rinsho Shishubyo Danwakai Kaishi Journal of the Japanese Society of Periodontists
Nihon Shinkei Seishin Yakurigaku Zasshi,Nihon Shinkei Seishin Yakurigaku Zasshi
NIPH Ann,NIPH Annals
Nippon Byori Gakkai Kaishi,Nippon Byori Gakkai Kaishi. Transactiones Societatis Pathologicae Japonicae
Nippon Daicho Komonbyo Gakkai Zasshi,Nippon Daicho Komonbyo Gakkai Zasshi. Journal of Japan Society of Colo-Proctology
Nippon Densenbyo Gakkai Zasshi,Nippon Densenbyo Gakkai Zasshi
Nippon Eiseigaku Zasshi,Nippon Eiseigaku Zasshi. Japanese Journal of Hygiene
Nippon Funin Gakkai Zasshi,Nippon Funin Gakkai Zasshi. Japanese Journal of Fertility and Sterility
Nippon Gan Chiryo Gakkai Shi,Nippon Gan Chiryo Gakkai Shi. Journal of Japan Society for Cancer Therapy
Nippon Ganka Gakkai Zasshi,Nippon Ganka Gakkai Zasshi. Acta Societatis Ophthalmologicae Japonicae
Nippon Ganka Kiyo,Nippon Ganka Kiyo. Folia Ophthalmologica Japonica. Bulletin of Japanese Ophthalmology
Nippon Geka Gakkai Zasshi,Nippon Geka Gakkai Zasshi. Journal of Japan Surgical Society
Nippon Geka Hokan,Nippon Geka Hokan. Archiv fur Japanische Chirurgie
Nippon Heikatsukin Gakkai Zasshi,Nippon Heikatsukin Gakkai Zasshi
Nippon Hifuka Gakkai Zasshi,Nippon Hifuka Gakkai Zasshi. Japanese Journal of Dermatology
Nippon Hinyokika Gakkai Zasshi,Nippon Hinyokika Gakkai Zasshi. Japanese Journal of Urology
Nippon Hoigaku Zasshi,Nippon Hoigaku Zasshi. Japanese Journal of Legal Medicine
Nippon Hotetsu Shika Gakkai Zasshi,Nippon Hotetsu Shika Gakkai Zasshi
Nippon Igaku Hoshasen Gakkai Zasshi,Nippon Igaku Hoshasen Gakkai Zasshi. Nippon Acta Radiologica
Nippon Ika Daigaku Zasshi,Nippon Ika Daigaku Zasshi. Journal of the Nippon Medical School
Nippon Ishikai Zasshi,Nippon Ishikai Zasshi. Journal of the Japan Medical Association
Nippon Ishinkin Gakkai Zasshi,Nippon Ishinkin Gakkai Zasshi
Nippon Jibiinkoka Gakkai Kaiho,Nippon Jibiinkoka Gakkai Kaiho
Nippon Jinzo Gakkai Shi,Nippon Jinzo Gakkai Shi
Nippon Juigaku Zasshi,Nippon Juigaku Zasshi. Japanese Journal of Veterinary Science
Nippon Ketsueki Gakkai Zasshi,Nippon Ketsueki Gakkai Zasshi. Acta Haematologica Japonica
Nippon Koku Geka Gakkai Zasshi,Nippon Koku Geka Gakkai Zasshi
Nippon Kontakuto Renzu Gakkai Kaiin Dayori,Nippon Kontakuto Renzu Gakkai Kaiin Dayori. Journal of Japan Contact Lens Society
Nippon Koshu Eisei Zasshi,Nippon Koshu Eisei Zasshi
Nippon Kyobu Geka Gakkai Zasshi,Nippon Kyobu Geka Gakkai Zasshi. Journal of the Japanese Association for Thoracic Surgery
Nippon Kyobu Shikkan Gakkai Zasshi,Nippon Kyobu Shikkan Gakkai Zasshi. Japanese Journal of Thoracic Diseases
Nippon Kyosei Shika Gakkai Zasshi,Nippon Kyosei Shika Gakkai Zasshi. Journal of Japan Orthodontic Society
Nippon Naibunpi Gakkai Zasshi,Nippon Naibunpi Gakkai Zasshi. Folia Endocrinologica Japonica
Nippon Naika Gakkai Zasshi,Nippon Naika Gakkai Zasshi. Journal of Japanese Society of Internal Medicine
Nippon Rai Gakkai Zasshi,Nippon Rai Gakkai Zasshi. Japanese Journal of Leprosy
Nippon Rinsho,Nippon Rinsho. Japanese Journal of Clinical Medicine
Nippon Ronen Igakkai Zasshi,Nippon Ronen Igakkai Zasshi. Japanese Journal of Geriatrics
Nippon Saikingaku Zasshi,Nippon Saikingaku Zasshi. Japanese Journal of Bacteriology
Nippon Sanka Fujinka Gakkai Zasshi,Nippon Sanka Fujinka Gakkai Zasshi. Acta Obstetrica et Gynaecologica Japonica
Nippon Seikeigeka Gakkai Zasshi,Nippon Seikeigeka Gakkai Zasshi. Journal of the Japanese Orthopaedic Association
Nippon Seirigaku Zasshi,Nippon Seirigaku Zasshi. Journal of the Physiological Society of Japan
Nippon Shika Hyoron,Nippon Shika Hyoron. Nippon Dental Review
Nippon Shika Ishikai Zasshi,Nippon Shika Ishikai Zasshi. Journal of the Japan Dental Association
Nippon Shika Zairyo Kikai Gakkai Zasshi,Nippon Shika Zairyo Kikai Gakkai Zasshi. Journal of the Japan Research Society of Dental Materials and Appliances
Nippon Shishubyo Gakkai Kaishi,Nippon Shishubyo Gakkai Kaishi. Journal of the Japanese Association of Periodontology
Nippon Shokakibyo Gakkai Zasshi,Nippon Shokakibyo Gakkai Zasshi. Japanese Journal of Gastroenterology
Nippon Shonika Gakkai Zasshi,Nippon Shonika Gakkai Zasshi
Nippon Yakurigaku Zasshi,Nippon Yakurigaku Zasshi. Folia Pharmacologica Japonica
NITA,NITA
Nitric Oxide,Nitric Oxide
NJPC Bull,NJPC Bulletin
NJSNA Newsl,NJSNA Newsletter
NLN Conv Pap,NLN Convention Papers
NLN Publ,NLN Publications
NLN Update,NLN Update
NMR Biomed,NMR in Biomedicine
No Shinkei Geka,No Shinkei Geka. Neurological Surgery
No To Hattatsu,No to Hattatsu
No To Shinkei,No to Shinkei. Brain and Nerve
